Micromagnetic energy calculation : BEMScript 2014
Mesh data:
19 August 2021  13:29:04
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5870         30390          1795          3586  0.494123E-02
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.482477E+06 -0.130397E+05  0.475060E-04  0.000000E+00  0.134441E-10  0.170325E-06 -0.891528E-01  0.958736E+01  0.722717E-15
External field direction (x,y,z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
          11          11   -0.18101722431544450126E-01  0.00000000000000000000E+00  0.49699704324462468108E+01  0.54805128231304873765E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59962649205245500961E-01  0.50118313592199479345E+01 -0.10700623421830007809E-01  0.20053879408596771150E-01 -0.46334122265330101795E-02
          12          12   -0.18111617989213429913E-01  0.00000000000000000000E+00  0.48074498662674765015E+01  0.53493595886616454038E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.62828138712230419127E-01  0.48521663869904934074E+01 -0.11313184803289756328E-01  0.20871729099195539259E-01 -0.48967286887564272571E-02
          13          13   -0.18121714241220877178E-01  0.00000000000000000000E+00  0.46515539359631308258E+01  0.52205392807603514527E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.65707683204907788022E-01  0.46991399049268185451E+01 -0.11957066813287283574E-01  0.21669077522770228278E-01 -0.51683833088157112023E-02
          14          14   -0.18154292846204761469E-01  0.00000000000000000000E+00  0.41967614428931163673E+01  0.48335133240844285751E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.74763071054756671807E-01  0.42533702211016688466E+01 -0.14072829343371243138E-01  0.23994860950975045039E-01 -0.60644755805317369923E-02
          15          15   -0.18177167706611666032E-01  0.00000000000000000000E+00  0.38293705610233415015E+01  0.44886097983517494470E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.83121868507895074751E-01  0.38943152618246252850E+01 -0.16043750860434115302E-01  0.26384370535506518340E-01 -0.70762201818411057941E-02
          16          16   -0.18169932121489651422E-01  0.00000000000000000000E+00  0.35242960146505684094E+01  0.41788742297648662216E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.90648612383123813863E-01  0.35967746949122023636E+01 -0.17941690002370336288E-01  0.28952439986168372610E-01 -0.81389520914146341879E-02
          17          17   -0.18138811564352926714E-01  0.00000000000000000000E+00  0.32638356275694548891E+01  0.38973329887232996960E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.97299850097511658698E-01  0.33429966661026133679E+01 -0.19804958653907023258E-01  0.31687923173461030046E-01 -0.92367688546427708512E-02
          18          18   -0.18193083574819197967E-01  0.00000000000000000000E+00  0.24525797790236625318E+01  0.29360132751312169042E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.11693808155501252133E+00  0.25513247770038560702E+01 -0.25391869503775293254E-01  0.43119367502752053989E-01 -0.15743611047718999996E-01
          19          19   -0.18408414726582313092E-01  0.00000000000000000000E+00  0.19952733867631815556E+01  0.23643987414246510070E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12411323631323162298E+00  0.21009782083498307337E+01 -0.28531482637255023427E-01  0.53843265903226078528E-01 -0.20467376701146785395E-01
          20          20   -0.18513745497193364459E-01  0.00000000000000000000E+00  0.16817663609981168271E+01  0.19635964620110100132E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12613643197807222762E+00  0.17893890474789955203E+01 -0.31166642164572478518E-01  0.60679788859679360813E-01 -0.23511089091384530791E-01
          21          21   -0.18548149688071152025E-01  0.00000000000000000000E+00  0.14459138741032273590E+01  0.16606555204837114559E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12597726038690956751E+00  0.15533429848020658959E+01 -0.34264857746572112418E-01  0.64928463035545266879E-01 -0.22771580781558706241E-01
          22          22   -0.18578828981449399538E-01  0.00000000000000000000E+00  0.18009341445677431448E+01  0.17452435594153339338E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.96117394616252668782E-01  0.18784727102025464696E+01 -0.39981648208457877536E-01  0.75816043490383747128E-01 -0.17501529789917768393E-01
          23          23   -0.18536847520902063197E-01  0.00000000000000000000E+00  0.13665286975372008538E+01  0.15717509835134622076E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12561776747267303089E+00  0.14736096174889719013E+01 -0.35102478747535734160E-01  0.66126275175285673114E-01 -0.22496102941331891367E-01
